OBJECTID,COD_SIG,COD_VIA,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,EIXO,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESPONSAVEL,FREGUESIA,COMP_M,COMP_KM,IDTIPO,ZONAMENTO,GlobalID,Shape__Length
130126,0000734,,0120,Trilho de Corrida,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Alcântara,47.14,0.04714453,9196,Monsanto,6f55eb3b-4d52-469f-9544-87b194588b20,60.4640051862008
130128,0000462,34341,0529,Praça do Marquês de Pombal,,Principal,Central,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2013,CML/DMU/DEP,Avenidas Novas,145.61,0.14560967,9196,,5b7210c7-00e3-4418-b980-279246e1c97f,186.728693363279
130132,3518,66713,0081,Rua Marquesa de Alorna,Rua Marquesa de Alorna,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2020,CML/DMM; EMEL,Alvalade,207.74,0.20773717,9196,Bairro de Alvalade,87c12e8f-135d-4922-be62-9a4f73871555,266.931872503909
130133,156233,67002,0653,Avenida Elias Garcia,Planalto - Avenida Elias Garcia - Poente,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT,Avenidas Novas,49.4,0.04939762,9196,Avenidas Novas,210f13e0-82a6-4244-94b3-ef89a0ba2bc5,63.2486487433902
130137,0000057,,0152,Parque da Bela Vista - Parque hortícola de Chelas,Parque da Bela Vista - Parque hortícola de Chelas,Complementar,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Marvila,221.19,0.22119393,9196,,e76062d5-4651-4127-b46e-7f2141b37dc0,284.001752367344
130138,0000385,67034,0255,Avenida Fontes Pereira de Melo,Eixo Central,Principal,Central,Pista Ciclável Unidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Santo António,265.37,0.26537462,9196,Eixo Central,0ce726c6-bcb4-4f86-93b7-1e8c5b842822,340.81614760901
130141,0000288,35247,0046,Rua das Musas,Alameda dos Oceanos Sul,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,CML/DMM; EMEL,Parque das Nações,26.32,0.02631854,9196,Parque das Nações Sul,96a92470-60d4-4bf9-b652-504074587452,33.8083927756706
130142,5123,67002,0653,Avenida Elias Garcia,Planalto - Avenida Elias Garcia - Poente,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT,Avenidas Novas,113.44,0.11344498,9196,Avenidas Novas,0764caf3-9bef-4359-a4d1-5f21aadbed47,145.258911489244
130143,12809,33532,0175,Rua da Portela,Z30 - Bairro da Encarnação - Rua da Portela,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,165.27,0.16527167,9196,Bairro da Encarnação,2e9f839a-b915-4101-ba92-16bee7519973,211.779845261682
130145,0000167,67042,0648,Rua Doutor António Cândido,Largo de São Sebastião,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,CML/DMU/DEP; SRU,Avenidas Novas,202.32,0.20232063,9196,Avenidas Novas,797ef6f4-0b09-48bc-8382-88e3e4006001,259.65913027334
130151,0000513,35291,0050,Rotunda dos Vice-reis,Alameda dos Oceanos Norte,Principal,Marginal,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,188.89,0.18888507,9196,Parque das Nações Norte,c7b16748-c998-4fa8-88a8-c57a65a650e1,242.440233091254
130155,0000202,,0160,Parque Florestal de Monsanto - Parque Quinta da Granja,T01 - Parque Florestal de Monsanto - Parque da Quinta da Granja,Local,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML/DMEVAE,São Domingos de Benfica,16.03,0.0160268,9196,,e578044b-d718-4ea3-af44-ca2bb581a58c,20.6024498492864
130157,14296,5914,0090,Cais Português,,Local,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,262.9,0.2629023,9196,Frente Ribeirinha,d2b39578-85c8-447d-9247-79887257cd11,338.067737111644
130158,0000091,33393,0044,Estrada da Circunvalação,Parque Florestal de Monsanto - Troço T25 - Parque de Campismo de Lisboa/Rotunda de Pina Manique,Principal,Circular Exterior,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Benfica,222.7,0.22269614,9196,Monsanto,e7813cda-db3e-45f9-934c-d19a2ab594b3,285.966245656068
130159,0000092,33393,0044,Estrada da Circunvalação,Parque Florestal de Monsanto - Troço T25 - Parque de Campismo de Lisboa/Rotunda de Pina Manique,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Benfica,235.91,0.23590645,9196,Monsanto,1f78461b-bf42-41b8-a632-4129db9f7363,303.025822334182
130160,0000728,,0120,Trilho de Corrida,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,3460.56,3.46056047,9196,Monsanto,6dcb08a4-1eb3-4a56-86d3-24cf690c8df4,4440.51692113931
130161,0000729,,0120,Trilho de Corrida,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,255.85,0.25584502,9196,Monsanto,7bc8185c-90e3-45e2-8efb-b30ed9d505b0,327.990671749545
130170,0000524,,0167,Ponte Ciclopedonal do Parque hortícola do Vale de Chelas,Corredor Verde Oriental - Parque Urbano do Vale de Chelas - Ponte Ciclopedonal do Parque hortícola e Espaços Exteriores - Av. Santo Condestável ,Complementar,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,2016,CML/DMEVAE,Marvila,171.25,0.1712538,9196,,91abe98a-aa5b-4591-aa5a-7be7ba53f522,219.460185813554
130172,1303,33370,0164,Alameda da Encarnação,Z30 - Bairro da Encarnação,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,39.82,0.03982397,9196,Bairro da Encarnação,b43026b2-c355-4f30-b99f-ad5c322095ac,51.1892908600187
130174,0000060,101725,0292,Rua Prof. António Flores,Rua Prof. António Flores,Local,,Contrassentido,Pista ciclável (separação física),Definitiva,Executado,2017,CML,Alvalade,141.27,0.14126531,9196,Cidade Universitária,90082c95-ab01-4271-8646-33b5ec4c0218,181.515963717631
130177,155626,67040,0656,Rua Pinheiro Chagas,Planalto - Rua Pinheiro Chagas,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT,Avenidas Novas,40.27,0.04026677,9196,Saldanha,70dc840a-819d-4ae1-b70f-0f025a0c0171,51.6589992801623
130179,0000476,33536,0683,Praça Baden Powell,Avenida Cidade de Luanda - Fase 2,Principal,Olivais - Beato,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Olivais,66.57,0.06657234,9196,Olivais Sul,8c4f3af4-a4d4-408f-b037-9563c35e6542,85.5032310177609
130180,0000698,66931,0073,Avenida Almirante Reis,Avenida Almirante Reis - Fase 2,Principal,Baixa - Aeroporto,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Areeiro,32.46,0.03245735,9196,,3ec0789f-0fd8-4cff-9c79-9ae8dac900e3,41.7214052711921
130182,1168,33370,0164,Alameda da Encarnação,Z30 - Bairro da Encarnação,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,51.33,0.05133486,9196,Bairro da Encarnação,02a91776-05df-4b4f-ab69-7c85386d2339,65.8587094489978
130183,0000682,35000,0140,Rua Almeida e Sousa,Bairro de Campo de Ourique - 1ª fase,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,549.73,0.54972691,9196,Bairro de Campo de Ourique,2c226ef2-9d41-4ee7-bc19-096e283ea0f0,703.578298716675
